config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
E,gru,23,23,kotekar,0.608974359,0.60828877,0.665106952,0.666666667,0.613636364,0.639053254,0.364410961,0.287410021,0.184339345,0.806451613
E,gru,24,24,kotekar,0.570512821,0.574197861,0.623078209,0.64,0.545454545,0.588957055,0.384576955,0.295452654,0.091566443,0.787096774
E,gru,25,25,kotekar,0.621794872,0.629679144,0.661263369,0.704225352,0.568181818,0.628930818,0.357469003,0.279428244,0.21511966,0.793548387
E,gru,26,26,kotekar,0.602564103,0.609291444,0.671791444,0.680555556,0.556818182,0.6125,0.364951121,0.288767576,0.181919456,0.8
E,gru,27,27,kotekar,0.615384615,0.617312834,0.667446524,0.679487179,0.602272727,0.638554217,0.371824829,0.294608712,0.150812745,0.806451613
E,gru,28,28,kotekar,0.570512821,0.582553476,0.64388369,0.661538462,0.488636364,0.562091503,0.375954506,0.292370409,0.131844997,0.780645161
E,gru,29,29,kotekar,0.608974359,0.616644385,0.65842246,0.690140845,0.556818182,0.616352201,0.358559658,0.279772967,0.210322917,0.787096774
F,tcn,0,0,kotekar,0.583333333,0.595588235,0.66493984,0.676923077,0.5,0.575163399,0.363207307,0.282975018,0.189718664,0.838709677
F,tcn,1,1,kotekar,0.583333333,0.608957219,0.66427139,0.734693878,0.409090909,0.525547445,0.360357827,0.280864179,0.202382684,0.832258065
F,tcn,2,2,kotekar,0.551282051,0.578877005,0.616143048,0.695652174,0.363636364,0.47761194,0.361741979,0.282307446,0.196243525,0.851612903
F,tcn,3,3,kotekar,0.551282051,0.567179144,0.621323529,0.65,0.443181818,0.527027027,0.367100421,0.285333246,0.172255218,0.838709677
F,tcn,4,4,kotekar,0.564102564,0.578542781,0.637533422,0.661290323,0.465909091,0.546666667,0.366782818,0.282530665,0.173686922,0.838709677
F,tcn,5,5,kotekar,0.557692308,0.574532086,0.633522727,0.661016949,0.443181818,0.530612245,0.377219664,0.297133476,0.125992239,0.825806452
F,tcn,6,6,kotekar,0.564102564,0.586898396,0.646390374,0.692307692,0.409090909,0.514285714,0.39403724,0.306018263,0.04632324,0.832258065
F,tcn,7,7,kotekar,0.583333333,0.60394385,0.647727273,0.709090909,0.443181818,0.545454545,0.357226584,0.281283766,0.216183841,0.812903226
F,tcn,8,8,kotekar,0.551282051,0.560494652,0.603108289,0.632352941,0.488636364,0.551282051,0.411266314,0.307830006,-0.03889811,0.825806452
F,tcn,9,9,kotekar,0.628205128,0.647058824,0.658923797,0.75862069,0.5,0.602739726,0.36414186,0.289235771,0.185543537,0.812903226
F,tcn,10,10,kotekar,0.564102564,0.581885027,0.637700535,0.672413793,0.443181818,0.534246575,0.382986496,0.295056492,0.099064708,0.832258065
F,tcn,11,11,kotekar,0.583333333,0.598930481,0.641377005,0.68852459,0.477272727,0.563758389,0.356177221,0.283672988,0.220782042,0.819354839
F,tcn,12,12,kotekar,0.576923077,0.588235294,0.611129679,0.666666667,0.5,0.571428571,0.371692375,0.288229823,0.151417732,0.819354839
F,tcn,13,13,kotekar,0.564102564,0.578542781,0.65190508,0.661290323,0.465909091,0.546666667,0.3674668,0.285868526,0.170602143,0.851612903
F,tcn,14,14,kotekar,0.532051282,0.561831551,0.632352941,0.674418605,0.329545455,0.442748092,0.377985238,0.294069439,0.122440934,0.825806452
F,tcn,15,15,kotekar,0.564102564,0.576871658,0.629512032,0.65625,0.477272727,0.552631579,0.372848498,0.285595655,0.146130621,0.838709677
F,tcn,16,16,kotekar,0.583333333,0.600601604,0.663937166,0.694915254,0.465909091,0.557823129,0.385278312,0.295883268,0.088249981,0.851612903
F,tcn,17,17,kotekar,0.576923077,0.581550802,0.617647059,0.648648649,0.545454545,0.592592593,0.370475837,0.291082412,0.156963348,0.838709677
F,tcn,18,18,kotekar,0.525641026,0.549465241,0.636196524,0.64,0.363636364,0.463768116,0.366782513,0.283768058,0.173688293,0.832258065
F,tcn,19,19,kotekar,0.58974359,0.606283422,0.645889037,0.7,0.477272727,0.567567568,0.335681674,0.264281452,0.30787915,0.838709677
F,tcn,20,20,kotekar,0.583333333,0.597259358,0.655414439,0.682539683,0.488636364,0.569536424,0.376598349,0.284660846,0.128868997,0.825806452
F,tcn,21,21,kotekar,0.576923077,0.601604278,0.643549465,0.72,0.409090909,0.52173913,0.37283401,0.287696242,0.146196902,0.819354839
F,tcn,22,22,kotekar,0.583333333,0.597259358,0.669451872,0.682539683,0.488636364,0.569536424,0.357707821,0.275927305,0.214070559,0.832258065
F,tcn,23,23,kotekar,0.596153846,0.625334225,0.673128342,0.777777778,0.397727273,0.526315789,0.395664005,0.303802133,0.038432539,0.825806452
F,tcn,24,24,kotekar,0.564102564,0.58355615,0.633522727,0.678571429,0.431818182,0.527777778,0.367780025,0.287707031,0.169187605,0.825806452
F,tcn,25,25,kotekar,0.58974359,0.597927807,0.619485294,0.671428571,0.534090909,0.594936709,0.358657618,0.276693195,0.209891438,0.812903226
F,tcn,26,26,kotekar,0.583333333,0.588903743,0.62717246,0.657534247,0.545454545,0.596273292,0.382904976,0.29426977,0.099448264,0.858064516
F,tcn,27,27,kotekar,0.576923077,0.599933155,0.689338235,0.711538462,0.420454545,0.528571429,0.373297383,0.29393819,0.144073308,0.858064516
F,tcn,28,28,kotekar,0.544871795,0.559826203,0.621323529,0.639344262,0.443181818,0.523489933,0.365482532,0.281659484,0.17953527,0.819354839
F,tcn,29,29,kotekar,0.564102564,0.585227273,0.637867647,0.685185185,0.420454545,0.521126761,0.365104958,0.285147756,0.181229591,0.832258065
